Codename,Type of File,Name of File,Location,Description,Text in Documents,Key Words,Additional Comments
Journalist_Interview_Article_1,Text Document,"""Assassination Conspiracy""","""Interviews"" folder",interview with tech guy,"“Assassination Conspiracy
By Tamara Glass

Everybody remembers where they were when they heard the news that former President Nikolaev was assassinated. On the night of March 18th, Madam President Charlotte Nikolaev was attending a gala hosted by Secretary of State, Alden Olhouser. Around 11:30pm President Nikolaev was pulled aside by Alden Olhouser into an adjacent room. She was last seen with a drink in hand. Neighbors and the President’s personal guards reported screaming. Head of the President’s personal guard, Quinten Judit Maradona, was the first to respond, finding Secretary Olhouser clutching President Nikolaev’s body. The President was rushed to the hospital and Secretary Olhouser was taken into custody for questioning.
As he spoke with the President, Secretary Olhouser reported a mysterious person appearing in the room, seemingly out of nowhere. He had questioned the person’s presence before the gun was fired. He stated that, “everything happened so quickly I didn’t even realize what happened.” Secretary Olhouser then said that he ran to the President and started calling for help, trying to put pressure on her wounds before the head of the President's personal guard arrived.

Official reports of the incident indicate that there were signs of a break in but no fingerprints were found on the premises. The gun that fired the bullets could not be found but investigators are currently tracing the gun. After extensive questioning, Secretary Olhouser was released without charges against him. However, there are currently no other suspects for the former President’s assassination.

There are however, suspicions that there is a connection between the unknown gunman and now President Fyfe Antuma. A source, who wishes to remain anonymous, has collected evidence of such a connection and is willing to share this information. After extensive research and collaborations with my source, we have concluded that President Fyfe Antuma assassinated former President Charlotte Nikolaev for political gain. This is validated with the evidence my source has gathered.

Interview with Anonymous:
Tamara Glass: Thank you for meeting with me today.
Anonymous: I’m just here to make sure people know the truth!
TG: Of course. And you wish to remain anonymous, yes?
A: I don’t want to paint a target on my back.
...
TG: So tell me, what connections have you made?
A: That snake, Antuma, had President Nikolaev killed and I can prove it! 
TG: That’s quite the accusation to make. Do you have any evidence to back that up?
A: I do. [pulls out a stack of documents] In my research, there are only a couple of ways the president can no longer serve - if they are ill, deceased, impeached, or resigned. Past assassinations were conducted with the motive to gain power. KFJ and Avram Motor, were assassinated so that the next person in line for succession could take over.
TG: What makes you so sure this is one of those situations?
A: Antuma promised that they’d become president at any cost, and they’re the kind of person to keep their promises. They are a persistent, honest, and outspoken person and have never reneged. Already they have tried to expand the Executive Branch’s power in their short time in office. In the past, Antuma and Nikolaev were civil political party members with differing views and Antuma plans to repeal Nikolaev’s policies. 
TG: So you believe Antuma killed Nikolaev for political power?
A: Yes, exactly. Their motive to succeed is ultimately for power to expand their ego, financial assets, and revenge for winning the presidency. 
TG: That is a lot of information to digest, but your argument is very compelling. If you find any more evidence, feel free to contact me.  
A: I’ll keep that in mind. 
TG: Thank you for your time.   
A: Thanks for having me.“
""","""interview""",
Journalist_Email_Correspondence_1,Text Document,"""Interview Request""","""Inbox"" app",email correspondence with tech guy,x,"""Oswald Porter""",x
Journalist_Folder_Interviews,Folder,"""Interviews""",x,folder of interviews,x,x,x
Journalist_Interview_Article_2,Text Document,"""Fire in Local Downtown Restaurant""","""Articles"" folder","""Fire in Local Downtown Restaurant""","""A fire broke out last night at local restaurant, The Willow, that ruined everything in it’s wake. Restaurant owner, Connie Mitchell, had little to comment in regards to what caused the fire. Reports say that the restaurant went up in flames in the middle of the night, around 1 a.m. We are still waiting on the official report from the local fire department but my sources tell me that the fire did not, quote, “Seem accidental”. When asked about this assumption, Mr. Mitchell refused to comment. Until the official report to finished we won’t know if this was an unfortunate accident that ruined a man’s livelihood, or a possible case of insurance fraud.”",x,x
Journalist_Interview_Article_3,Text Document,"""Newest Top Grossing Film That is a Must Watch""","""Articles"" folder","""Newest Top Grossing Film That is a Must Watch""","""This holiday season, grab your friends, significant others and even children to a local theater because you won’t want to miss the top 3 films of the year. Starting off at #3: The Grey Name - An action, thriller starring Umran Sinagra. A meat trader resigns from a business full of secrets, betrayals and dirty work. He gives up not only his job but his life along with it. Refusing to give up the latter, he attempts to escape and throw away his past. A movie about freeing oneself from their past. #2 Forgotten Hunter – When the nation falls to the attacks of the supernatural, all hope is lost when the hunters are gone. However, one hunter remains alive, though reluctant to go back to where they came from. A horror, action, thriller that will definitely get you hooked on the fear of dying. #1 The Healer's Snow – A romance movie based on the bestselling novel The Healer’s Snow by Amira Morris. A young tribal girl learns the art of healing passed down from her grandmother. At the age of 14, she revives a young doctor from the tundra. He is indebted to her and offers to appoint her as his apprentice. This love story will have you in tears in one minute and laughing your a** off in the next. A must see movie for the end of this year.""",x,x
Journalist_Interview_Article_4,Text Document,"""Low Yielding Harvests Concerns the Nation""","""Articles"" folder","""Low Yielding Harvests Concerns the Nation""","“Some scary news coming to out today. The overall harvest numbers throughout the nation have been recorded at an all time low since the shortage twenty years ago. Most crops have been affected but there is no definitive answer as to why. Some experts say that the issue could be due to something in the water. Others state that it could possibly be due to ineffective pesticides. Either way, it’s something that will be felt by every person in the nation. Stock up on your veggies while you still can because in the next year you might find the shelves in your local supermarket bare.”",x,x
Journalist_Interview_Article_5,Text Document,"""Supermodel Glaukos Sun Stuns Media with Red Carpet Dress""","""Articles"" folder","""Supermodel Glaukos Sun Stuns Media with Red Carpet Dress""","“This year, Supermodel Galukos Sun has been the star of the media. With her social media posts to the fashion industry’s obsession over her and her life, Ms. Sun is expected to win several awards. Her agency has complete confidence in her and endless support. Fashion designers across the globe aspire to work with her and have sent her numerous PR packages to try. She’s written reviews of them all over her social media and expresses interest in supporting small brands. On October 27th, Galukos Sun rocks a stunning, 24 carat gold dress that compliments her body shape. Her makeup paired well with the dress and made her look like a golden sun goddess. We’re looking forward to what Galukos Sun pulls and wears to her next red carpet event. Until then, you can follow her on Tweetbook @sunnyglau.”",x,x
Journalist_Interview_Photo_1,Photo,"""professional_meeting_photo""","""Interviews"" folder",interview,x,x,x
Journalist_Interview_Photo_2,Photo,"""handshake_professional_header_photo""","""Interviews"" folder",shaking hands,x,x,x
Journalist_Interview_Photo_3,Photo,"""Low-Yielding-Harvests-Concerns-the-Nation_photo""","""Interviews"" folder",current event,x,x,x
