Importance,Codename,Type of File,Name of File,Location,Description,Text in Documents,Additional Comments
Most,Old Man_Browser_History_Entry_1,Text Line,x,"""NetSurfer app""","""how to get rid of an encrypted file named 696d706f7274616e74""",x,x
Most,Old Man_Encrypted_Document_1,Text Document,"""696d706f7274616e74""","""Trash"" folder",Text file of emails,""" jazzcannon21@shade.com , laywary@yopmail.com , id_do_it18@3mail.com , zerodox_49@kop.com , xpogox@opmail.com , hex_man_316@hypermaillink.com , kxmanxohxyeah@ngmail.com , lennieohs95@m3il.com , john.glover.85@yakoo.com , dog_lov3r_08@haughtmail.com """,put in the Trash
x,Old Man_Virus_1,Series,x,x,Player clicks on a virus exe and is spammed with a bunch of pop ups,"""Congratulations, you are the 100, 00 visitor. Please click yes to recieve your prize. 
URGENT!!! We've detected (4) viruses on your computer. Your computer is not protected. Please download this virus protection now! 
You are trying to access a secure site that is protected by the FBI! Send a payment of $2, 139 immediately to fbisecuritynetwork@firewail.org or charges will be brought up against you. 
Please disable your firewall to gain access to this website.
Slow computer? Speed it up with this new PC cleaner software. Download now!""",x
x,Old Man_Virus_2,Series,x,x,Screen flickers,x,x
x,Old Man_Virus_3,Series,x,x,General computer lag,x,x
x,Old Man_Error_Message_1,Popup Text,x,x,Computer crashed message,"""Oh no, something happened. Your computer needs to restart.""",x
x,Old Man_Error_Message_2,Popup Text,x,x,Show loading message (taking too long),"""This window is taking too long to load, please try again.""",x
x,Old Man_Family_Photo_1,Photo,"""rebecca ana""",Desktop,Photo of grandkids,x,x
x,Old Man_Family_Photo_2,Photo,"""rebecca ana(1)""",Desktop,Photo of grandkids,x,x
x,Old Man_Family_Photo_3,Photo,"""rebecca ana(2)""",Desktop,Photo of grandkids,x,x
x,Old Man_Family_Photo_4,Photo,"""jacob eva rebecca""",Desktop,Photo of children + grandkids,x,x
x,Old Man_Family_Photo_5,Photo,"""family""",Desktop,Old man + wife + grankids,x,x
x,Old Man_Family_Photo_6,Photo,"""5/20/2017""",Desktop,Young old man + wife,x,x
x,Old Man_Family_Photo_7,Photo,"""honeymoon""",Desktop,Young old man + wife,x,x
x,Old Man_Family_Photo_8,Photo,"""sunset""",Desktop,Old man + wife,x,x
x,Old Man_Family_Photo_9,Photo,"""me and jacob""",Desktop,Younger old man + children,x,x
x,Old Man_Family_Photo_10,Photo,"""mom and pop's wedding""",Desktop,His parents,x,x
x,Old Man_Selfie_1,Photo,"""me""",Desktop,Awkward posed selfie,x,x
x,Old Man_Pet_Photo_1,Photo,"""corner cat""",Desktop,Stray Cat,x,x
x,Old Man_Pet_Photo_2,Photo,"""best friend""",Desktop,Puppy running around,x,x
x,Old Man_Pet_Photo_3,Photo,"""sleeping fido""",Desktop,Older version of that puppy,x,x
