Codename,Type of File,Name of File,Location,Description,Text in Documents,Key Words,Additional Comments
Tech_Guy_NonEncrypted_File_3,Text Document,"""Emergency_Contacts""","""Assorted"" folder",something on government candidates,"""Line of Succession after President Charlotte Nikolaev,
Vice President: Fyfe Antuma
Speaker of the House of Representatives: Oden Janz
President pro tempore of the Senate: Rafiq Kistler
Secretary of State: Alden Olhouser
Secretary of the Treasury: Ediz Brent
""","""Charlotte Nikolaev""",x
Tech_Guy_Encrypted_File_1,Text Document,"""Prime_Suspect""",,list of prime suspects and current location,"""Prime Suspect: Fyfe Antuma
Age: 53
Height: 5'7
Date of Birth: 2/29/1962
Current Occupation: President
Current Location: Blanca House
Coordinates: Latitude: -40.48256, Longitude: 105.81633, Distortion: 1.73""","""Fyfe Antuma""",x
Tech_Guy_Encrypted_File_2,Text Document,"""Grocery_List""","""Assorted"" folder",something on assassinations of presidents,"""KJF Assassination, Prime Suspect: Donald Warren, Potential Accomplices: Rick Red, John Ghain, Regina Urgon, Reason for Murder: Revenge: possibly from college years;
Avram Motor Assassination, Prime Suspect: Rachel Powers. Potential Accomplices: None, Reason for Murder: Strongly against Motor's policies;
Nikolaev Assassination, Prime Suspect: Fyfe Antuma, Potential Accomplices: Alden Olhouser, Reason for Murder: Rise to Power
""","""assassination""",x
Tech_Guy_Encrypted_File_4,Text Document,"""Antuma's_Motives""","""For Review"" folder","stuff about Antuma’s motive, why he wanted to succeed, what does he want to do when he’s president, personality, history/actions, past complaints about him","""Personality: Persistent, Direct, Honest, Outspoken, Charismatic
Past relationship to Nikolaev: Civil political rivals with differing views
Past Occupations: Mayor, Governor, Senator 
Past Campaigns:  Pro-Fracking, Pro-Universal Health Care, Pro-Government Surveillance, Anti-Abortion
Future Campaigns: Expand Executive Branch power, Repeal Nikolaev Policies, More Public School Funding
Past Actions: Involved in a financial scandal, Divorced twice, Lost custody of a child, Graduated top of #1 law school, Promised to be president at any cost
Past Complaints: ""Rash, Agressive, Blunt, Too radical, Keeps promises, Spiteful""
Motive to Succeed: Power for ego, revenge, money, and social gains""","""information""",x
Tech_Guy_To_Do_List,Text Document,"""TO_DO""",Desktop,TODO in ASCII,"""
  _____       ____        
 |_   _|__   |  _ \  ___  
   | |/ _ \  | | | |/ _ \ 
   | | (_) | | |_| | (_) |
   |_|\___/  |____/ \___/ 


1. Get back to ""Assassination Consiracy"" byTamara Glass , 2. Respond to email - Greg, 3. Schedule doctor's appointment, 4. Appointment with client 7:30 AM, 5. New phone specs""","""Tamara Glass""",on Desktop
Tech_Guy_Email_Correspondence_1,Text Document,"""Interview Request""","""Inbox"" app",Correspondence between journalist and tech guy,"""Dear Tamara Glass, Thank you for the quick reply. I wish to discuss this matter further in person. I'm available on Tuesday from 2pm to 8pm. Is there a particular meeting place you're fond of? Thank you, Porter
Techology Specialist
---
Hey Oswald Porter, This Tuesday at 6:30 PM sounds great! Maybe we could meet at Roast the Toast downtown? See you soon,Tamara Glass
Freelance Journalist and Writer
---
""Glass, I will meet you there. Additionally, make sure you delete these correspondences from your email. I wouldn't want anyone tracking us. Thanks, Porter
Technology Specialist
---
""Oswald, Don't you worry about a thing - I'll delete them right now! Not another soul will know about this. See you soon, Tamara Glass
Freelance Journalist and Writer""","""journalist""",x
Tech_Guy_Article_1,Text Document,"""Assassination_Conspiracy""","""For Review"" folder",Article about anon interview with conspiracy theorist,"in google document ""Assassination Conspiracy""","""conspiracy"", ""collected evidence""",x
Tech_Guy_Browser_History_Entry_1,Text Line,x,"""NetSurfer"" app","""Popular controversial journalists""",x,x,x
Tech_Guy_Browser_History_Entry_2,Text Line,x,"""NetSurfer"" app","""Meal delivery services""",x,x,x
Tech_Guy_Browser_History_Entry_3,Text Line,x,"""NetSurfer"" app","""Antuma's past actions before rise to power""",x,x,x
